Цена,Количество_комнат,Общая_площадь,Этаж,Ремонт,Отделка,Способ_продажи,Тип_дома,Пассажирский_лифт,Грузовой_лифт,Тип_участия,Широта_Объекта,Долгота_Объекта,комендантский проспект_dist,крестовский остров_dist,шушары_dist,парнас_dist,купчино_dist,улица дыбенко_dist,девяткино_dist,проспект ветеранов_dist,Цена_кв_м,Цена_кв_м_кат,Балкон_или_лоджия_свертка,Вид_сделки_свертка,В_доме_свертка,Двор_свертка,Мебель_свертка,Окна_свертка,Парковка_свертка,Санузел_свертка,Техника_свертка,Тип_комнат_свертка,Возраст_дома,Грузовой_лифт_no_info,Пассажирский_лифт_no_info
7200000,1,23.7,24,no_info,no_info,свободная,монолитный,0,0,no_info,59.883115,30.427574,23.384,21.126,7.04,22.936,8.268,6.757,18.646,20.189,303797.4683544304,4,1,0,0,0,0,1,0,1,0,0,1,1,1
7100000,2,58.8,2,косметический,no_info,свободная,монолитно-кирпичный,1,1,no_info,59.746378,30.078686,35.343,32.112,40.185,45.536,34.284,48.396,52.72,21.866,120748.2993197279,0,1,1,0,2,1,1,1,1,0,1,11,0,0
4950000,1,31.0,3,no_info,no_info,свободная,панельный,0,0,no_info,59.970047,30.410497,17.409,16.789,16.86,13.735,16.06,10.673,9.612,22.758,159677.4193548387,1,0,0,0,0,0,1,0,1,0,0,55,1,1
7500000,1,38.3,24,no_info,no_info,свободная,монолитный,0,0,no_info,60.073764,30.338326,11.438,14.325,30.091,0.903,27.43,24.522,11.929,27.528,195822.45430809402,1,1,0,0,0,0,1,0,1,0,0,9,1,1
5950000,1,34.4,7,no_info,no_info,свободная,кирпичный,0,0,no_info,59.873997,30.376154,19.855,16.924,8.692,21.957,4.914,12.474,20.943,14.397,172965.11627906977,1,1,0,0,0,0,1,0,1,0,0,46,1,1
9500000,2,58.0,11,no_info,no_info,свободная,монолитный,0,0,no_info,59.916288,30.439557,22.569,20.947,10.73,20.457,11.949,4.961,14.885,22.56,163793.10344827586,1,1,1,0,0,0,2,0,1,0,1,7,1,1
4599000,0,24.7,14,no_info,no_info,свободная,монолитный,0,0,no_info,60.036623,30.210765,6.167,9.006,34.468,14.087,29.4,33.519,25.857,22.065,186194.33198380566,1,1,0,0,0,0,1,0,1,0,0,0,1,1
5500000,1,29.1,4,косметический,no_info,альтернативная,панельный,1,0,no_info,59.916559,30.479397,26.577,25.204,11.921,23.262,15.026,1.105,15.389,26.74,189003.43642611682,1,0,1,2,2,3,2,1,1,2,0,51,0,0
7900000,3,60.0,2,no_info,no_info,свободная,панельный,0,0,no_info,60.043116,30.419938,18.329,19.517,24.839,9.929,24.212,16.644,2.685,29.209,131666.66666666666,0,1,0,0,0,0,1,0,1,0,1,51,1,1
16500000,2,83.4,3,no_info,no_info,свободная,кирпичный,0,0,no_info,59.885548,30.320476,15.302,11.745,14.446,20.218,8.722,18.258,22.809,9.145,197841.72661870503,1,0,0,0,0,0,1,0,1,0,1,105,1,1
