Price,Num_of_rooms,Total_area,Living_space,WMO,name,log_price,Price_m_2,Price_m_2_cat,lat_object,lon_object,Flat_floor,Total_floor,расстояние_до_девяткино,расстояние_до_гражданский_проспект,расстояние_до_академическая,расстояние_до_политехническая,расстояние_до_площадь_мужества,расстояние_до_лесная,расстояние_до_выборгская,расстояние_до_площадь_ленина,расстояние_до_чернышевская,расстояние_до_площадь_восстания,расстояние_до_владимирская,расстояние_до_пушкинская,расстояние_до_технологический_институт,расстояние_до_балтийская,расстояние_до_нарвская,расстояние_до_кировский_завод,расстояние_до_автово,расстояние_до_ленинский_проспект,расстояние_до_проспект_ветеранов,расстояние_до_парнас,расстояние_до_проспект_просвещения,расстояние_до_озерки,расстояние_до_удельная,расстояние_до_пионерская,расстояние_до_чёрная_речка,расстояние_до_петроградская,расстояние_до_горьковская,расстояние_до_невский_проспект,расстояние_до_сенная_площадь,расстояние_до_технологический_институт_2,расстояние_до_фрунзенская,расстояние_до_московские_ворота,расстояние_до_электросила,расстояние_до_парк_победы,расстояние_до_московская,расстояние_до_звёздная,расстояние_до_купчино,расстояние_до_беговая,расстояние_до_зенит,расстояние_до_приморская,расстояние_до_василеостровская,расстояние_до_гостиный_двор,расстояние_до_маяковская,расстояние_до_площадь_александра_невского_1,расстояние_до_елизаровская,расстояние_до_ломоносовская,расстояние_до_пролетарская,расстояние_до_обухово,расстояние_до_рыбацкое,расстояние_до_спасская,расстояние_до_достоевская,расстояние_до_лиговский_проспект,расстояние_до_площадь_александра_невского_2,расстояние_до_новочеркасская,расстояние_до_ладожская,расстояние_до_проспект_большевиков,расстояние_до_улица_дыбенко,расстояние_до_комендантский_проспект,расстояние_до_старая_деревня,расстояние_до_крестовский_остров,расстояние_до_чкаловская,расстояние_до_спортивная,расстояние_до_адмиралтейская,расстояние_до_садовая,расстояние_до_звенигородская,расстояние_до_обводный_канал,расстояние_до_волковская,расстояние_до_бухарестская,расстояние_до_международная,расстояние_до_дунайская,расстояние_до_проспект_славы,расстояние_до_шушары,group,Subway_station,Time_for_subway,Balcony_1,Balcony_2,Bathroom_1,Bathroom_2,Windows_1,Windows_2,Windows_3,House_type_1,House_type_2,House_type_3,House_type_4,House_type_5
23500000,6.0,112,65.9,18,17,0.8890949947201889,209447.4210265847,2,59.9341,30.344722,2.0,4.0,16.906,13.87,10.442,8.812,7.683,5.651,4.103,2.702,2.048,1.866,0.801,2.249,3.51,5.839,8.576,11.011,11.872,12.534,14.627,14.818,13.112,11.734,9.733,9.283,7.507,5.165,3.772,1.969,2.821,3.51,4.33,5.569,6.755,7.949,9.817,11.221,12.093,16.875,15.381,12.357,7.446,1.257,1.144,4.604,9.707,12.489,15.9,15.742,20.831,2.821,0.668,1.871,4.457,7.488,10.509,13.654,15.684,12.649,11.699,10.363,6.579,6.258,3.283,3.107,2.249,2.191,4.465,6.207,8.073,12.78,10.281,16.015,2.0,29,0,0,0,0,1,0,0,1,0,0,1,0,0
35000000,4.0,134,90.0,8,17,1.2874426350594916,261194.02985074627,3,59.929844,30.358179,5.0,5.0,16.364,13.454,10.134,8.903,7.828,6.316,4.72,2.873,1.643,0.325,1.169,3.336,4.653,6.981,9.785,12.062,12.81,13.276,15.428,15.479,13.812,12.597,10.749,10.572,8.877,6.606,5.252,3.514,4.218,4.653,5.23,6.16,7.14,8.133,9.879,10.779,11.289,18.442,16.949,13.904,8.994,2.79,0.428,3.041,8.156,10.965,14.365,14.273,19.327,4.218,1.362,1.062,2.891,5.972,9.017,12.117,14.127,14.103,13.225,11.924,8.13,7.826,4.82,4.506,3.336,2.02,3.759,5.258,7.031,11.574,9.12,14.755,2.0,45,5,0,0,0,1,1,0,1,0,0,1,0,0
42000000,4.0,154,87.0,64,14,1.4697641918534463,272727.2727272727,3,59.98354,30.316003,20.0,20.0,15.943,12.717,9.471,6.723,5.86,3.144,3.761,5.426,6.528,7.753,7.153,7.15,7.454,8.677,10.225,13.012,14.272,15.637,17.317,9.483,7.768,5.983,3.685,3.001,1.699,1.977,3.065,5.487,6.287,7.454,8.588,10.199,11.6,13.04,14.978,17.111,18.33,12.624,11.663,9.861,6.19,5.842,7.215,10.1,15.371,18.288,21.597,21.74,26.669,6.287,6.994,8.212,10.028,12.256,14.83,18.188,20.427,6.954,6.793,6.42,3.656,4.447,5.299,6.315,7.15,8.445,10.766,12.551,14.426,19.119,16.629,22.33,1.0,69,1,1,0,0,1,1,1,0,0,1,0,0,0
12700000,2.0,65,32.0,54,10,0.273696567034623,194486.97406543427,1,59.82006,30.327564,6.0,25.0,28.613,25.921,22.732,21.536,20.433,18.418,16.91,15.393,14.292,12.802,12.166,11.181,10.766,10.172,10.751,9.855,9.042,7.441,8.898,27.45,25.721,24.129,21.893,20.56,18.619,16.362,15.15,12.82,11.926,10.766,9.647,8.044,6.645,5.183,3.273,2.837,5.458,23.203,21.256,17.63,14.677,12.671,12.73,13.232,13.659,14.193,16.598,14.813,19.341,11.926,12.195,11.606,13.07,15.319,17.608,19.032,19.845,22.307,20.47,18.487,16.157,15.208,12.942,11.905,11.181,10.762,9.075,8.442,8.006,9.494,8.568,11.686,1.0,19,4,1,0,0,0,0,0,1,1,0,0,0,0
14900000,1.0,44,16.3,74,1,0.4334557865214918,334080.7289185367,4,59.957534,30.245207,4.0,10.0,24.277,21.065,17.852,15.092,14.239,11.421,11.455,12.32,12.83,13.227,11.886,10.235,9.333,8.233,7.075,8.848,10.184,12.095,12.841,15.652,14.253,12.25,10.219,7.601,6.917,7.41,8.19,9.422,9.005,9.333,9.844,10.89,11.935,13.234,14.754,18.026,20.294,5.783,4.069,1.558,4.031,10.147,12.505,15.965,20.952,23.586,27.015,26.535,31.741,9.005,11.668,12.872,15.817,18.794,21.746,24.975,27.04,5.868,3.714,2.241,5.215,5.163,8.146,8.758,10.235,12.391,14.233,16.008,17.782,22.562,20.104,25.844,2.0,49,4,0,0,0,0,1,0,0,0,0,1,0,0
39900000,3.0,94,57.2,66,17,1.4184708974658946,423117.6957449339,4,59.924898,30.373522,4.0,9.0,15.923,13.202,10.085,9.344,8.367,7.423,5.881,3.927,2.654,1.508,2.864,4.904,6.187,8.449,11.271,13.381,14.013,14.281,16.471,16.395,14.783,13.744,12.062,12.129,10.514,8.312,6.992,5.295,5.918,6.187,6.566,7.196,7.936,8.682,10.238,10.532,10.573,20.232,18.74,15.674,10.768,4.569,2.218,1.276,6.393,9.239,12.62,12.621,17.619,5.918,3.078,2.102,1.11,4.292,7.355,10.376,12.355,15.793,14.981,13.709,9.909,9.618,6.592,6.201,4.904,3.039,3.668,4.599,6.112,10.31,7.959,13.388,2.0,44,0,0,1,1,1,1,1,0,1,0,0,0,0
32500000,8.0,188,126.7,6,12,1.213334662905769,172048.70857650595,1,59.952867,30.301504,2.0,6.0,19.089,15.859,12.44,9.916,8.88,5.94,5.482,6.069,6.557,7.079,5.869,4.75,4.459,5.078,6.456,9.246,10.502,11.89,13.547,13.182,11.486,9.621,7.265,5.539,3.622,1.855,1.965,3.438,3.542,4.459,5.473,7.027,8.407,9.876,11.768,14.321,15.972,11.649,10.213,7.465,2.826,4.123,6.371,9.803,14.941,17.698,21.118,20.867,26.005,3.542,5.655,6.936,9.668,12.551,15.478,18.728,20.826,7.811,6.56,5.128,1.392,1.134,2.428,3.419,4.75,6.699,8.87,10.729,12.614,17.459,14.936,20.754,2.0,11,2,0,0,0,1,0,0,1,0,0,1,0,0
19900000,1.0,73,52.895849960095745,13,9,0.722814305300524,270380.4403881496,3,60.192791,29.696857,4.0,4.0,84.425,82.062,80.234,77.644,77.409,75.563,76.384,77.854,78.682,79.37,78.121,76.545,75.597,74.119,71.948,71.791,72.411,73.985,72.839,72.155,72.369,71.54,71.492,69.941,70.965,72.77,73.961,75.649,75.313,75.597,75.962,76.693,77.392,78.354,79.241,82.799,85.549,60.655,62.241,65.623,70.34,76.366,78.662,82.084,87.215,89.893,93.323,92.801,98.019,75.313,77.903,79.144,81.954,84.696,87.431,90.777,92.975,65.704,66.032,67.169,70.977,71.277,74.415,75.068,76.545,78.701,80.489,82.205,83.885,88.491,86.147,91.673,1.0,0,5,0,1,1,0,0,0,1,0,1,0,0,0
39200000,3.0,119,52.7,70,10,1.4007713203664949,327759.2015060272,4,59.904658,30.319021,4.0,9.0,21.249,18.2,14.755,12.944,11.802,9.353,8.011,7.0,6.347,5.472,4.101,2.131,1.319,2.179,4.917,6.926,7.636,8.194,10.303,18.115,16.383,14.721,12.457,11.15,9.204,6.914,5.718,3.533,2.502,1.319,0.25,1.436,2.831,4.269,6.205,8.626,10.436,15.873,14.096,10.585,6.187,3.625,4.948,7.651,11.662,13.969,17.347,16.623,21.844,2.502,3.984,4.388,7.459,10.674,13.715,16.504,18.26,13.356,11.795,9.978,6.947,6.097,3.494,2.458,2.131,3.424,4.387,6.013,7.715,12.471,10.022,15.755,1.0,66,5,1,0,1,1,0,0,0,0,0,1,0,0
6362817,0.0,18,11.1,48,16,-0.4174342226117034,353489.8333333333,4,59.885142,30.368563,12.0,18.0,20.122,17.541,14.512,13.76,12.748,11.415,9.819,7.954,6.669,5.085,5.25,5.858,6.567,8.049,10.56,11.867,12.079,11.767,13.955,20.574,18.911,17.678,15.76,15.288,13.451,11.047,9.627,7.246,7.108,6.567,6.146,5.681,5.585,5.601,6.604,6.147,6.203,21.666,19.941,16.482,11.894,6.683,5.365,4.726,6.256,8.175,11.493,10.706,15.927,7.108,5.404,4.239,4.578,6.86,9.453,11.573,12.99,18.368,17.121,15.487,11.98,11.353,8.18,7.297,5.858,3.991,1.721,0.158,2.044,6.869,4.346,10.163,1.0,6,0,0,0,0,0,0,0,1,0,1,0,0,0
